Test,Loc,Year,Genotype,Code,Rep,Plot,Oil,Protein,Protein_Plus_Oil
Jay Test 1,CAS,2020,N18-1674,1,1,3,19.61,47.11,66.72
Jay Test 1,CAS,2020,N18-1674,1,2,33,20.46,46.3,66.76
Jay Test 1,CAS,2020,N18-1674,1,3,56,19.31,47.26,66.57
Jay Test 1,CAS,2020,N18-1635,2,1,4,20.04,45.54,65.58
Jay Test 1,CAS,2020,N18-1635,2,2,40,21.49,43.59,65.08
Jay Test 1,CAS,2020,N18-1635,2,3,60,21.2,43.37,64.57
Jay Test 1,CAS,2020,N18-1641,3,1,10,20.37,44.56,64.93
Jay Test 1,CAS,2020,N18-1641,3,2,27,20.29,44.76,65.05
Jay Test 1,CAS,2020,N18-1641,3,3,49,20.19,45.01,65.2
Jay Test 1,CAS,2020,N18-1595,4,1,5,17.91,49.05,66.96
Jay Test 1,CAS,2020,N18-1595,4,2,21,19.4,47.87,67.27
Jay Test 1,CAS,2020,N18-1595,4,3,45,18.09,50.47,68.56
Jay Test 1,CAS,2020,N18-1604,5,1,1,20.22,44.93,65.15
Jay Test 1,CAS,2020,N18-1604,5,2,30,20.61,44.76,65.37
Jay Test 1,CAS,2020,N18-1604,5,3,48,20.72,45.07,65.79
Jay Test 1,CAS,2020,N18-1632-1,6,1,9,20.71,46.9,67.61
Jay Test 1,CAS,2020,N18-1632-1,6,2,38,19.35,47.51,66.86
Jay Test 1,CAS,2020,N18-1632-1,6,3,41,20.03,47.73,67.76
Jay Test 1,CAS,2020,N18-1956,7,1,19,20.83,45.47,66.3
Jay Test 1,CAS,2020,N18-1956,7,2,39,20.89,45.98,66.87
Jay Test 1,CAS,2020,N18-1956,7,3,46,20.19,46.32,66.51
Jay Test 1,CAS,2020,N18-1572,8,1,2,20.08,45.66,65.74
Jay Test 1,CAS,2020,N18-1572,8,2,25,19.94,45.45,65.39
Jay Test 1,CAS,2020,N18-1572,8,3,43,19.1,46.28,65.38
Jay Test 1,CAS,2020,N18-1751,9,1,11,19.98,45.69,65.67
Jay Test 1,CAS,2020,N18-1751,9,2,23,19.32,46.57,65.89
Jay Test 1,CAS,2020,N18-1751,9,3,50,20.58,44.52,65.1
Jay Test 1,CAS,2020,N18-1855,10,1,12,19.81,48.23,68.04
Jay Test 1,CAS,2020,N18-1855,10,2,31,19.78,49.07,68.85
Jay Test 1,CAS,2020,N18-1855,10,3,52,19.67,47.56,67.23
Jay Test 1,CAS,2020,N18-1620,11,1,14,19.4,45.98,65.38
Jay Test 1,CAS,2020,N18-1620,11,2,32,20.31,45.61,65.92
Jay Test 1,CAS,2020,N18-1620,11,3,53,19.37,45.73,65.1
Jay Test 1,CAS,2020,N18-1763,12,1,13,18.34,50.25,68.59
Jay Test 1,CAS,2020,N18-1763,12,2,37,18.06,49.97,68.03
Jay Test 1,CAS,2020,N18-1763,12,3,51,19.02,49.6,68.62
Jay Test 1,CAS,2020,N18-1682,13,1,16,18.21,46.97,65.18
Jay Test 1,CAS,2020,N18-1682,13,2,22,19.83,45.91,65.74
Jay Test 1,CAS,2020,N18-1682,13,3,57,18.24,47.3,65.54
Jay Test 1,CAS,2020,N18-1731,14,1,15,19.68,47.59,67.27
Jay Test 1,CAS,2020,N18-1731,14,2,29,20,46.95,66.95
Jay Test 1,CAS,2020,N18-1731,14,3,59,20.28,45.98,66.26
Jay Test 1,CAS,2020,N18-1632-2,15,1,17,18.97,48.6,67.57
Jay Test 1,CAS,2020,N18-1632-2,15,2,36,20.09,48.06,68.15
Jay Test 1,CAS,2020,N18-1632-2,15,3,42,19.86,47.49,67.35
Jay Test 1,CAS,2020,NC-Dunphy,16,1,18,20.8,42.3,63.1
Jay Test 1,CAS,2020,NC-Dunphy,16,2,24,19.81,43.35,63.16
Jay Test 1,CAS,2020,NC-Dunphy,16,3,58,20.63,41.67,62.3
Jay Test 1,CAS,2020,NC-Dilday,17,1,20,21.25,42.84,64.09
Jay Test 1,CAS,2020,NC-Dilday,17,2,35,20.15,44.25,64.4
Jay Test 1,CAS,2020,NC-Dilday,17,3,44,19.71,43.75,63.46
Jay Test 1,CAS,2020,NC-Raleigh,18,1,7,23.35,40.15,63.5
Jay Test 1,CAS,2020,NC-Raleigh,18,2,34,23.51,40.37,63.88
Jay Test 1,CAS,2020,NC-Raleigh,18,3,54,22.51,41.37,63.88
Jay Test 1,CAS,2020,LMN09-119,19,1,8,16.38,53.47,69.85
Jay Test 1,CAS,2020,LMN09-119,19,2,26,16.45,53.81,70.26
Jay Test 1,CAS,2020,LMN09-119,19,3,47,17.04,53.09,70.13
Jay Test 1,CAS,2020,N09-09,20,1,6,19.18,47.47,66.65
Jay Test 1,CAS,2020,N09-09,20,2,28,19.78,45.76,65.54
Jay Test 1,CAS,2020,N09-09,20,3,55,19.91,46.75,66.66
Jay Test 2,CAS,2020,N18-1575,1,1,1,19.46,49.31,68.77
Jay Test 2,CAS,2020,N18-1575,1,2,38,18.95,50.81,69.76
Jay Test 2,CAS,2020,N18-1575,1,3,54,19.65,49.34,68.99
Jay Test 2,CAS,2020,N18-1579,2,1,9,21.65,44.18,65.83
Jay Test 2,CAS,2020,N18-1579,2,2,24,21.57,44.25,65.82
Jay Test 2,CAS,2020,N18-1579,2,3,45,20.4,45.3,65.7
Jay Test 2,CAS,2020,N18-1628,3,1,14,18.49,50.19,68.68
Jay Test 2,CAS,2020,N18-1628,3,2,23,18.69,50.13,68.82
Jay Test 2,CAS,2020,N18-1628,3,3,58,19.44,50.15,69.59
Jay Test 2,CAS,2020,N18-1615,4,1,16,21.37,44.11,65.48
Jay Test 2,CAS,2020,N18-1615,4,2,40,20.88,44.66,65.54
Jay Test 2,CAS,2020,N18-1615,4,3,59,21.1,44.42,65.52
Jay Test 2,CAS,2020,N18-1796,5,1,10,18.9,49.58,68.48
Jay Test 2,CAS,2020,N18-1796,5,2,34,19.52,49.36,68.88
Jay Test 2,CAS,2020,N18-1796,5,3,47,19.52,48.71,68.23
Jay Test 2,CAS,2020,N18-1659,6,1,2,19.5,48.4,67.9
Jay Test 2,CAS,2020,N18-1659,6,2,29,19.9,48.95,68.85
Jay Test 2,CAS,2020,N18-1659,6,3,41,18.89,48.94,67.83
Jay Test 2,CAS,2020,N18-1643,7,1,7,20.71,44.87,65.58
Jay Test 2,CAS,2020,N18-1643,7,2,22,19.61,46.64,66.25
Jay Test 2,CAS,2020,N18-1643,7,3,49,20.52,45.47,65.99
Jay Test 2,CAS,2020,N18-1661,8,1,19,21.69,43.86,65.55
Jay Test 2,CAS,2020,N18-1661,8,2,37,21.48,44.32,65.8
Jay Test 2,CAS,2020,N18-1661,8,3,57,20.97,44.18,65.15
Jay Test 2,CAS,2020,N18-1761,9,1,17,17.79,48.9,66.69
Jay Test 2,CAS,2020,N18-1761,9,2,28,18.77,49.7,68.47
Jay Test 2,CAS,2020,N18-1761,9,3,55,19.87,48.98,68.85
Jay Test 2,CAS,2020,N18-1820,10,1,15,20.95,43.86,64.81
Jay Test 2,CAS,2020,N18-1820,10,2,21,19.5,45.41,64.91
Jay Test 2,CAS,2020,N18-1820,10,3,52,20.1,45.21,65.31
Jay Test 2,CAS,2020,N18-1586,11,1,11,20.8,46.97,67.77
Jay Test 2,CAS,2020,N18-1586,11,3,56,20.23,47.19,67.42
Jay Test 2,CAS,2020,N18-1577,12,1,4,17.09,49.75,66.84
Jay Test 2,CAS,2020,N18-1577,12,2,25,18.59,50.63,69.22
Jay Test 2,CAS,2020,N18-1577,12,3,44,18.84,49.07,67.91
Jay Test 2,CAS,2020,N18-1627,13,1,3,19.56,46.81,66.37
Jay Test 2,CAS,2020,N18-1627,13,2,33,20.22,46.86,67.08
Jay Test 2,CAS,2020,N18-1627,13,3,53,18.88,46.5,65.38
Jay Test 2,CAS,2020,N18-1783,14,1,12,19.71,47.96,67.67
Jay Test 2,CAS,2020,N18-1783,14,2,39,19.19,48.04,67.23
Jay Test 2,CAS,2020,N18-1783,14,3,46,20.31,47.4,67.71
Jay Test 2,CAS,2020,N18-1769,15,1,8,18.26,49.27,67.53
Jay Test 2,CAS,2020,N18-1769,15,2,31,16.63,50.34,66.97
Jay Test 2,CAS,2020,N18-1769,15,3,48,17.95,48.93,66.88
Jay Test 2,CAS,2020,Osage,16,1,6,20.17,45.82,65.99
Jay Test 2,CAS,2020,Osage,16,2,36,20.46,46.31,66.77
Jay Test 2,CAS,2020,Osage,16,3,60,20.12,45.3,65.42
Jay Test 2,CAS,2020,Ellis,17,1,13,19.84,43.3,63.14
Jay Test 2,CAS,2020,Ellis,17,2,35,21.44,42.61,64.05
Jay Test 2,CAS,2020,Ellis,17,3,42,18.23,43.93,62.16
Jay Test 2,CAS,2020,Dunphy,18,1,5,20.79,42.99,63.78
Jay Test 2,CAS,2020,Dunphy,18,2,27,21.58,42.63,64.21
Jay Test 2,CAS,2020,Dunphy,18,3,50,19.95,43.92,63.87
Jay Test 2,CAS,2020,N09-09,19,1,18,19.63,45.86,65.49
Jay Test 2,CAS,2020,N09-09,19,2,26,19.93,46.31,66.24
Jay Test 2,CAS,2020,N09-09,19,3,43,19.48,47.74,67.22
Jay Test 2,CAS,2020,N10-687,20,1,20,20.34,43.14,63.48
Jay Test 2,CAS,2020,N10-687,20,2,32,20.55,44.56,65.11
