Test,Loc,Year,Genotype,Code,Rep,Plot,FC,MD,AgScore,PB,HT,DET,LOD,Yield,SDWT,Estimated_Seed_Count,Oil,Protein,Protein_Plus_Oil
Yield Test 1,Ply,2019,Dunphy,44,1,10,P,50,2.5,G,35,D,2,2971.623002,15.6,8583.333333,22.39,39.73,62.12
Yield Test 1,Ply,2019,Dunphy,44,2,58,P,50,2,G,32,D,2.5,2885.292805,15.7,8280.89172,23.13,40.86,63.99
Yield Test 1,Ply,2019,Dunphy,44,3,130,P,50,3.5,G,36,D,2.5,3312.061366,NA,NA,22.66,41.19,63.85
Yield Test 1,Ply,2019,LMN09-119,41,1,28,P,48,4.5,T,34,D,4,2215.290576,17.1,5837.426901,20.5,48.36,68.86
Yield Test 1,Ply,2019,LMN09-119,41,2,77,P,50,4,T,38,D,3,2377.742259,18.5,5791.351351,20.03,50.26,70.29
Yield Test 1,Ply,2019,LMN09-119,41,3,114,P,50,4,T,38,D,3,2825.372102,NA,NA,20.36,48.65,69.01
Yield Test 1,Ply,2019,N09-09,42,1,42,P,51,3.5,S,38,D,2.5,2415.470109,16.8,6478.571429,21.13,46.6,67.73
Yield Test 1,Ply,2019,N09-09,42,2,53,P,53,3,G,38,D,2,2361.319548,16.8,6333.333333,20.91,47.04,67.95
Yield Test 1,Ply,2019,N09-09,42,3,131,P,52,3,G,36,D,2,2639.174066,NA,NA,20.72,46.72,67.44
Yield Test 1,Ply,2019,N18-1569,1,1,44,S,49,2,T,33,D,2.5,2527.322087,14.1,8076.595745,21.24,44.39,65.63
Yield Test 1,Ply,2019,N18-1569,1,2,48,S,50,2,T,36,D,2,2588.79629,14.1,8273.049645,21.55,44.08,65.63
Yield Test 1,Ply,2019,N18-1569,1,3,102,W,51,3.5,T,32,I,3,2651.158207,NA,NA,21.92,43.65,65.57
Yield Test 1,Ply,2019,N18-1570,2,1,29,P,49,2,T,34,D,1.5,2595.454146,14.9,7848.993289,21.09,45.82,66.91
Yield Test 1,Ply,2019,N18-1570,2,2,83,P,49,2.5,T,33,D,2,2913.921585,13.9,9446.043165,21.47,45.5,66.97
Yield Test 1,Ply,2019,N18-1570,2,3,107,P,49,3,T,36,D,3,2790.307394,NA,NA,21.31,45.24,66.55
Yield Test 1,Ply,2019,N18-1577,3,1,4,P,47,3,T,30,D,3,2464.738242,15.2,7306.578947,20.97,46.54,67.51
Yield Test 1,Ply,2019,N18-1577,3,2,78,P,49,2.5,T,36,D,2.5,2721.065693,14.4,8514.583333,21.01,47.71,68.72
Yield Test 1,Ply,2019,N18-1577,3,3,100,P,49,3,T,32,I,3,2682.006272,NA,NA,20.43,47.64,68.07
Yield Test 1,Ply,2019,N18-1580,4,1,25,P,51,2,T,40,D,2,3231.279381,15.8,9215.189873,22.5,41.37,63.87
Yield Test 1,Ply,2019,N18-1580,4,2,65,P,50,2.5,T,37,D,2.5,2850.893883,14.9,8621.47651,22.17,42.1,64.27
